user,test_acc,auc,precision,recall,f1_score
0,68.72118377685547%,0.6872092234304309,0.693680656054028,0.6873804971319312,0.690516206482593
1,65.71251678466797%,0.657726567713633,0.6772486772486772,0.6221142162818954,0.6485117162761241
2,64.34687042236328%,0.6423234860410013,0.6359734685914944,0.7022834984920293,0.6674856674856675
3,66.85990142822266%,0.6682742739239541,0.6491425358448131,0.7403013786470023,0.6917315757938887
4,70.90795135498047%,0.7085630894770746,0.6979326186830015,0.7498971616618676,0.7229823517747372
5,65.34806060791016%,0.6534743149790095,0.6612641815235009,0.6289825282631039,0.6447195154069002
6,70.4250259399414%,0.7049294314258877,0.6793158738642437,0.7597130902570233,0.7172686230248306
7,65.9459457397461%,0.6599577428417591,0.6811475409836065,0.6130579122095168,0.6453115899825276
8,66.50640869140625%,0.6649976664825542,0.6715867158671587,0.6687664041994751,0.6701735928458705
9,64.7991943359375%,0.6487105898870604,0.6770301624129931,0.5798887122416534,0.6247056304859773
